event_year,area_office
1985,1054116
1985,317500
1985,626300
1985,626600
1985,112000
1985,317020
1985,420600
1985,951510
1985,524500
1985,453710
1985,524700
1985,355119
1985,452110
1985,352420
1985,352440
1985,453710
1985,1054196
1985,854910
1985,355117
1985,830500
1985,524200
1985,213900
1985,215800
1985,626600
1985,523420
1985,950411
1985,419700
1985,213400
1985,454716
1985,854910
1985,627100
1985,522300
1985,626300
1985,418600
1985,950411
1985,950411
1985,112000
1985,420600
1985,452110
1985,316100
1985,352420
1985,352440
1985,214200
1985,257230
1985,454510
1985,627100
1985,625700
1985,453710
1985,830300
1985,454510
1985,950411
1985,420600
1985,418100
1985,452110
1985,625700
1985,552700
1985,453710
1985,625400
1985,626600
1985,854910
1985,854910
1985,355114
1985,418600
1985,627100
1985,418800
1985,352410
1985,352450
1985,552700
1985,213900
1985,213100
1985,522000
1985,524700
1985,854910
1985,524200
1985,524500
1985,551800
1985,551800
1985,522000
1985,522500
1985,854910
1985,627700
1985,950411
1985,830500
1985,418100
1985,418100
1985,625700
1985,352410
1985,352420
1985,352440
1985,352440
1985,419400
1985,214500
1985,215800
1985,1054114
1985,454510
1985,454712
1985,419700
1985,551800
1985,352420
1985,552700
1985,552700
1985,214200
1985,418500
1985,355114
1985,950411
1985,627100
1985,521400
1985,352440
1985,728900
1985,213600
1985,626000
1985,626300
1985,355111
1985,551800
1985,352450
1985,627700
1985,1054112
1985,454711
1985,854910
1985,355111
1985,418100
1985,521700
1985,452110
1985,454732
1985,950411
1985,830500
1985,352440
1985,352440
1985,830100
1985,626300
1985,317740
1985,112000
1985,418100
1985,521400
1985,521400
1985,625700
1985,625700
1985,352440
1985,552700
1985,728900
1985,215000
1985,257250
1985,626300
1985,627400
1985,418300
1985,452110
1985,352440
1985,352440
1985,352440
1985,111400
1985,552700
1985,524700
1985,627700
1985,316700
1985,830500
1985,111400
1985,215000
1985,453710
1985,625400
1985,626300
1985,950411
1985,111100
1985,352410
1985,352440
1985,522300
1985,317000
1985,112300
1985,454713
1985,355114
1985,951510
1985,521700
1985,751910
1985,452110
1985,953200
1985,627700
1985,1054114
1985,1054114
1985,627400
1985,854910
1985,352440
1985,453710
1985,453710
1985,453710
1985,1054115
1985,1050210
1985,418400
1985,551800
1985,751910
1985,213100
1985,453710
1985,454510
1985,626600
1985,627100
1985,418800
1985,420600
1985,625700
1985,213400
1985,522500
1985,626000
1985,626300
1985,316110
1985,355112
1985,355118
1985,950411
1985,830500
1985,551800
1985,352440
1985,728900
1985,111700
1985,215600
1985,453710
1985,522300
1985,521110
1985,112000
1985,551800
1985,112600
1985,552700
1985,453710
1985,830300
1985,627700
1985,626300
1985,627400
1985,355116
1985,355118
1985,521100
1985,855610
1985,419700
1985,420600
1985,625700
1985,625700
1985,352440
1985,729300
1985,213100
1985,524700
1985,524700
1985,257220
1985,626300
1985,625700
1985,352440
1985,111700
1985,352450
1985,627700
1985,524200
1985,551800
1985,352420
1985,552700
1985,626300
1985,626300
1985,950411
1985,419700
1985,352440
1985,213100
1985,522500
1985,454712
1985,627400
1985,854910
1985,418100
1985,728500
1985,213600
1985,355118
1985,418300
1985,418300
1985,551800
1985,551800
1985,551800
1985,729300
1985,653510
1985,213600
1985,453710
1985,626300
1985,355118
1985,524200
1985,552700
1985,729300
1985,728900
1985,418800
1985,625700
1985,213400
1985,454713
1985,355112
1985,420600
1985,551800
1985,551800
1985,352420
1985,552700
1985,729300
1985,626000
1985,626300
1985,627400
1985,355110
1985,950411
1985,627100
1985,830500
1985,452110
1985,352440
1985,352440
1985,453710
1985,453710
1985,626300
1985,418100
1985,625700
1985,316100
1985,352440
1985,111400
1985,214200
1985,653510
1985,854910
1985,355110
1985,830500
1985,625700
1985,111100
1985,111700
1985,213900
1985,214500
1985,215000
1985,1054116
1985,454712
1985,627400
1985,1050210
1985,521400
1985,352440
1985,552700
1985,453710
1985,524700
1985,317500
1985,454520
1985,626300
1985,626300
1985,854910
1985,419400
1985,355112
1985,1050210
1985,317020
1985,551800
1985,626600
1985,854910
1985,418600
1985,420600
1985,418400
1985,551800
1985,452110
1985,352410
1985,352440
1985,352440
1985,729300
1985,729300
1985,453710
1985,522000
1985,522300
1985,522300
1985,625400
1985,523400
1985,627100
1985,830500
1985,418100
1985,521400
1985,729700
1985,215000
1985,830300
1985,316400
1985,751910
1985,352440
1985,352440
1985,352440
1985,552700
1985,213600
1985,1054114
1985,524200
1985,352440
1985,729300
1985,215000
1985,215000
1985,453710
1985,1054114
1985,316400
1985,950635
1985,524200
1985,552700
1985,522000
1985,523400
1985,551800
1985,751910
1985,625700
1985,728500
1985,627700
1985,627700
1985,626300
1985,854910
1985,355110
1985,418300
1985,419700
1985,420600
1985,418100
1985,418100
1985,551800
1985,751910
1985,453710
1985,453710
1985,453710
1985,1054116
1985,316700
1985,626300
1985,626300
1985,626300
1985,355111
1985,355114
1985,418100
1985,625700
1985,728900
1985,214700
1985,626300
1985,355110
1985,355116
1985,316400
1985,551800
1985,524700
1985,317500
1985,454712
1985,854910
1985,355118
1985,452110
1985,728900
1985,522000
1985,355112
1985,951510
1985,951510
1985,626300
1985,626300
1985,418100
1985,418100
1985,551800
1985,352440
1985,352440
1985,111400
1985,111400
1985,522000
1985,522300
1985,523400
1985,523420
1985,830500
1985,418800
1985,521700
1985,625700
1985,352440
1985,352440
1985,522300
1985,454714
1985,626300
1985,950411
1985,521700
1985,524200
1985,352440
1985,111700
1985,1054116
1985,454711
1985,626600
1985,854910
1985,355111
1985,112600
1985,214500
1985,453710
1985,625400
1985,854910
1985,316400
1985,830500
1985,418100
1985,352440
1985,352450
1985,111400
1985,522000
1985,522300
1985,316700
1985,316700
1985,854910
1985,352440
1985,420600
1985,453710
1985,418800
1985,419700
1985,352440
1985,552700
1985,552700
1985,213900
1985,453710
1985,454510
1985,626600
1985,355111
1985,355111
1985,950411
1985,751910
1985,352440
1985,627700
1985,454715
1985,625400
1985,626300
1985,626300
1985,854910
1985,854910
1985,355112
1985,418300
1985,452110
1985,625700
1985,112600
1985,214200
1985,214500
1985,522500
1985,854910
1985,355114
1985,855610
1985,524530
1985,352440
1985,453710
1985,625400
1985,551800
1985,352420
1985,214700
1985,830500
1985,418800
1985,452110
1985,950411
1985,552700
1985,214200
1985,317000
1985,355110
1985,950411
1985,420600
1985,418100
1985,729700
1985,453710
1985,524700
1985,1054115
1985,1054116
1985,112300
1985,454510
1985,855610
1985,418300
1985,551800
1985,352440
1985,352440
1985,653510
1985,653510
1985,215800
1985,454713
1985,627400
1985,854910
1985,355110
1985,523420
1985,855610
1985,452110
1985,352410
1985,352440
1985,830100
1985,830100
1985,213400
1985,214700
1985,453710
1985,454510
1985,454712
1985,626300
1985,521400
1985,524500
1985,352420
1985,552700
1985,215000
1985,215000
1985,215800
1985,522000
1985,454510
1985,626300
1985,355111
1985,523400
1985,627400
1985,355112
1985,953220
1985,418800
1985,418100
1985,521700
1985,551800
1985,551800
1985,215800
1985,830300
1985,257220
1985,626300
1985,626600
1985,355110
1985,625700
1985,452110
1985,625700
1985,625700
1985,352440
1985,653510
1985,453710
1985,317530
1985,257220
1985,854910
1985,355111
1985,551800
1985,552700
1985,316400
1985,418800
1985,521700
1985,524200
1985,352440
1985,352440
1985,112600
1985,552700
1985,454711
1985,214500
1985,453710
1985,854910
1985,111400
1985,552700
1985,953220
1985,213900
1985,625400
1985,355110
1985,418300
1985,625700
1985,352420
1985,352440
1985,453710
1985,522300
1985,1054115
1985,454510
1985,524530
1985,729700
1985,352420
1985,352420
1985,352440
1985,552700
1985,214200
1985,214700
1985,854910
1985,854910
1985,950411
1985,418100
1985,418100
1985,524200
1985,551800
1985,551800
1985,551800
1985,452110
1985,352420
1985,352420
1985,352440
1985,352440
1985,728500
1985,214700
1985,214700
1985,522500
1985,522500
1985,317000
1985,454510
1985,626600
1985,854910
1985,418800
1985,420600
1985,418100
1985,418100
1985,524200
1985,751910
1985,625700
1985,214200
1985,213100
1985,454711
1985,625400
1985,625700
1985,355117
1985,418300
1985,627100
1985,524200
1985,316100
1985,552700
1985,213600
1985,454712
1985,626300
1985,355110
1985,523420
1985,950411
1985,830500
1985,551800
1985,551800
1985,751910
1985,111100
1985,352440
1985,419400
1985,215800
1985,627700
1985,627700
1985,454520
1985,625400
1985,355118
1985,830500
1985,524200
1985,524500
1985,551800
1985,551800
1985,551800
1985,551800
1985,111400
1985,453710
1985,524700
1985,1054194
1985,625400
1985,626600
1985,950411
1985,420600
1985,551800
1985,751910
1985,452110
1985,452110
1985,452110
1985,214200
1985,522300
1985,454715
1985,854910
1985,854910
1985,355116
1985,524200
1985,729700
1985,452110
1985,419400
1985,830300
1985,1054115
1985,626300
1985,418800
1985,551800
1985,751910
1985,352410
1985,653510
1985,522500
1985,854910
1985,454510
1985,418300
1985,627100
1985,111400
1985,552700
1985,522300
1985,854910
1985,355116
1985,521100
1985,521110
1985,830500
1985,521700
1985,524200
1985,352440
1985,215000
1985,854910
1985,355116
1985,1032300
1985,1050210
1985,418800
1985,418800
1985,454712
1985,626600
1985,452110
1985,551800
1985,452110
1985,729300
1985,627400
1985,855610
1985,751910
1985,317500
1985,523400
1985,521100
1985,830500
1985,420600
1985,418100
1985,521400
1985,551800
1985,751910
1985,751910
1985,751910
1985,452110
1985,552700
1985,653510
1985,522300
1985,522300
1985,317000
1985,355118
1985,355118
1985,418100
1985,524500
1985,751910
1985,751910
1985,352410
1985,352420
1985,111700
1985,453710
1985,317500
1985,112300
1985,454715
1985,355111
1985,355116
1985,355118
1985,316400
1985,521100
1985,418600
1985,950411
1985,418800
1985,420600
1985,418100
1985,551800
1985,111100
1985,111100
1985,352440
1985,552700
1985,213900
1985,453710
1985,453710
1985,453710
1985,316700
1985,355110
1985,355114
1985,521400
1985,452110
1985,111400
1985,552700
1985,728500
1985,728500
1985,1054115
1985,317700
1985,625400
1985,626300
1985,854910
1985,355116
1985,355119
1985,951510
1985,352440
1985,552700
1985,214500
1985,453710
1985,453710
1985,522500
1985,854910
1985,830500
1985,524200
1985,453710
1985,626000
1985,854910
1985,454712
1985,317020
1985,1032500
1985,111100
1985,729300
1985,453710
1985,1054112
1985,1054112
1985,625400
1985,626300
1985,854910
1985,1050210
1985,418100
1985,951510
1985,751910
1985,452110
1985,728500
1985,213900
1985,418300
1985,420600
1985,418400
1985,951510
1985,352410
1985,352450
1985,552700
1985,729300
1985,215800
1985,453710
1985,454714
1985,625400
1985,626000
1985,854910
1985,1050210
1985,418800
1985,418100
1985,418100
1985,521400
1985,751910
1985,452110
1985,352440
1985,454712
1985,626300
1985,551800
1985,551800
1985,452110
1985,625700
1985,111400
1985,355114
1985,729300
1985,454712
1985,626300
1985,551800
1985,418600
1985,521700
1985,751910
1985,751910
1985,215000
1985,1054116
1985,854910
1985,627100
1985,521400
1985,214200
1985,453710
1985,625400
1985,854910
1985,854910
1985,855610
1985,729700
1985,352420
1985,352420
1985,215800
1985,454510
1985,418100
1985,524500
1985,625700
1985,625400
1985,854910
1985,551800
1985,551800
1985,751910
1985,625700
1985,625700
1985,625700
1985,552700
1985,214500
1985,522300
1985,627700
1985,454734
1985,854910
1985,523400
1985,352440
1985,626300
1985,418100
1985,625700
1985,215600
1985,522300
1985,454510
1985,854910
1985,854910
1985,418100
1985,551800
1985,551800
1985,452110
1985,316100
1985,552700
1985,453710
1985,355116
1985,950411
1985,418800
1985,418100
1985,524500
1985,551800
1985,751910
1985,751910
1985,452110
1985,214500
1985,522300
1985,317500
1985,454510
1985,626300
1985,830500
1985,751910
1985,452110
1985,524700
1985,418500
1985,626300
1985,626300
1985,355116
1985,418300
1985,951510
1985,551800
1985,317000
1985,626300
1985,854910
1985,420600
1985,551800
1985,626600
1985,854910
1985,418100
1985,653510
1985,453710
1985,950411
1985,627100
1985,521700
1985,625700
1985,352440
1985,352440
1985,728500
1985,215000
1985,453710
1985,454510
1985,454510
1985,626000
1985,626300
1985,626600
1985,355118
1985,418300
1985,420600
1985,420600
1985,420600
1985,524200
1985,551800
1985,111100
1985,111100
1985,352410
1985,352410
1985,112600
1985,552700
1985,625400
1985,418600
1985,625700
1985,352420
1985,729300
1985,522500
1985,454510
1985,355116
1985,855610
1985,418300
1985,627100
1985,931800
1985,418800
1985,524500
1985,452110
1985,111100
1985,352420
1985,352440
1985,454711
1985,454711
1985,626300
1985,951510
1985,521400
1985,524200
1985,551800
1985,729700
1985,352440
1985,728500
1985,728500
1985,522300
1985,627700
1985,317500
1985,454510
1985,454714
1985,626600
1985,854910
1985,355112
1985,1050210
1985,551800
1985,316100
1985,950411
1985,830500
1985,418100
1985,521400
1985,352420
1985,352420
1985,419400
1985,728500
1985,653510
1985,317000
1985,454510
1985,551800
1985,551800
1985,551800
1985,751910
1985,625700
1985,352410
1985,352440
1985,112600
1985,552700
1985,213900
1985,213600
1985,1054115
1985,854910
1985,830500
1985,830500
1985,524200
1985,552700
1985,552700
1985,213400
1985,1054116
1985,454510
1985,355112
1985,355116
1985,112000
1985,418800
1985,418800
1985,418800
1985,951510
1985,551800
1985,551800
1985,352420
1985,552700
1985,453710
1985,1054115
1985,625400
1985,355114
1985,521100
1985,418100
1985,551800
1985,551800
1985,728500
1985,453710
1985,317500
1985,355114
1985,213600
1985,454715
1985,625700
1985,111400
1985,552700
1985,552700
1985,215800
1985,453710
1985,453710
1985,316700
1985,625400
1985,625400
1985,854910
1985,854910
1985,355110
1985,418800
1985,418800
1985,524200
1985,551800
1985,551800
1985,751910
1985,625700
1985,352420
1985,215800
1985,522300
1985,627700
1985,626600
1985,551800
1985,551800
1985,522300
1985,522500
1985,1054111
1985,625400
1985,627400
1985,418800
1985,1032500
1985,551800
1985,551800
1985,452110
1985,352440
1985,352440
1985,627700
1985,454510
1985,627400
1985,854910
1985,355118
1985,418100
1985,931300
1985,521400
1985,111400
1985,1054114
1985,1054114
1985,1054116
1985,854910
1985,452110
1985,352420
1985,524700
1985,950411
1985,751910
1985,452110
1985,452110
1985,625700
1985,316100
1985,728500
1985,453710
1985,522300
1985,317500
1985,454510
1985,626600
1985,854910
1985,355116
1985,355116
1985,521100
1985,830500
1985,551800
1985,625700
1985,625700
1985,215800
1985,453710
1985,830300
1985,626300
1985,854910
1985,355118
1985,551800
1985,751910
1985,352440
1985,352440
1985,352440
1985,352440
1985,352440
1985,213100
1985,522500
1985,626300
1985,626300
1985,854910
1985,521100
1985,418300
1985,418100
1985,418100
1985,521400
1985,524200
1985,729700
1985,625700
1985,552700
1985,213900
1985,522500
1985,317740
1985,626300
1985,418800
1985,1032500
1985,521400
1985,524200
1985,352410
1985,213900
1985,653510
1985,653510
1985,215000
1985,854910
1985,854910
1985,355111
1985,355118
1985,352440
1985,524700
1985,830500
1985,418100
1985,729700
1985,352420
1985,552700
1985,830300
1985,454510
1985,626600
1985,420600
1985,418100
1985,418100
1985,951510
1985,551800
1985,751910
1985,452110
1985,728500
1985,213900
1985,214500
1985,1054111
1985,1054114
1985,625400
1985,950411
1985,418100
1985,729700
1985,352440
1985,111400
1985,522000
1985,454721
1985,854910
1985,355110
1985,627100
1985,418800
1985,418800
1985,452110
1985,552700
1985,214200
1985,524700
1985,420600
1985,854910
1985,1050210
1985,950411
1985,950411
1985,551800
1985,522300
1985,1054115
1985,454735
1985,855610
1985,418800
1985,951510
1985,625700
1985,352410
1985,522000
1985,454510
1985,454712
1985,454716
1985,625400
1985,355112
1985,418600
1985,830500
1985,418100
1985,551800
1985,751910
1985,830500
1985,418800
1985,420600
1985,418100
1985,352440
1985,317740
1985,626300
1985,627400
1985,854910
1985,352440
1985,552700
1985,213600
1985,626300
1985,521700
1985,552700
1985,1054113
1985,1054114
1985,1050210
1985,950411
1985,951510
1985,352440
1985,352440
1985,552700
1985,453710
1985,522500
1985,524700
1985,627700
1985,626300
1985,352440
1985,213900
1985,625400
1985,521100
1985,855610
1985,627100
1985,521700
1985,751910
1985,352450
1985,419400
1985,214500
1985,215600
1985,453710
1985,522500
1985,524700
1985,316700
1985,317000
1985,625400
1985,951510
1985,521700
1985,453710
1985,453710
1985,626600
1985,854910
1985,627100
1985,830500
1985,521400
1985,551800
1985,352420
1985,352440
1985,352450
1985,214200
1985,1054114
1985,316700
1985,626600
1985,751910
1985,453710
1985,454510
1985,454715
1985,355112
1985,419700
1985,1050210
1985,551800
1985,751910
1985,751910
1985,352440
1985,830300
1985,522000
1985,316700
1985,1032100
1985,1050210
1985,950411
1985,418800
1985,524200
1985,551800
1985,751910
1985,751910
1985,625700
1985,352440
1985,352440
1985,1054112
1985,1054114
1985,355111
1985,551800
1985,625700
1985,213100
1985,627700
1985,1054112
1985,854910
1985,355110
1985,950411
1985,951510
1985,551800
1985,751910
1985,419400
1985,522500
1985,1032500
1985,352440
1985,552700
1985,1054112
1985,626300
1985,626600
1985,355119
1985,523400
1985,420600
1985,551800
1985,214700
1985,316700
1985,854910
1985,418300
1985,112000
1985,551800
1985,551800
1985,551800
1985,751910
1985,751910
1985,729700
1985,419000
1985,316100
1985,352420
1985,352440
1985,420600
1985,1032500
1985,521400
1985,521700
1985,521700
1985,551800
1985,352420
